Entry	AlphaFoldDB	PDB	Ensembl
Q6P3Y9	Q6P3Y9;		ENSMUST00000093380.5;
Q6P3Z7			ENSMUST00000179863.8;ENSMUST00000188028.7;
Q6P4P1	Q6P4P1;		ENSMUST00000109965.8 [Q6P4P1-2];
Q6P4T3			ENSMUST00000081726.13;
Q6P536	Q6P536;		
Q6P560	Q6P560;		
Q6P572			ENSMUST00000155679.8;
Q6P5B0	Q6P5B0;		ENSMUST00000038677.5;
Q6P5C1	Q6P5C1;		
Q6P5C5	Q6P5C5;		ENSMUST00000064067.9;ENSMUST00000229371.2;ENSMUST00000229377.2;
Q6P5E3			ENSMUST00000034090.8;
Q6P5G6	Q6P5G6;		ENSMUST00000232137.2;
Q6P5H6	Q6P5H6;		ENSMUST00000121219.8 [Q6P5H6-2];ENSMUST00000138157.8 [Q6P5H6-1];
Q6P6J0	Q6P6J0;	7NZ7;7NZ8;7NZ9;	ENSMUST00000019944.9;
Q6P6M5	Q6P6M5;		ENSMUST00000004686.13 [Q6P6M5-1];ENSMUST00000111081.10 [Q6P6M5-2];
Q6P6P7	Q6P6P7;		
Q6P8G8	Q6P8G8;		ENSMUST00000061587.13;
Q6P8H8	Q6P8H8;		ENSMUST00000098300.6;
Q6P8I6	Q6P8I6;		ENSMUST00000020851.15;
Q6P8K8	Q6P8K8;		ENSMUST00000049251.6;
Q6P8W9	Q6P8W9;		ENSMUST00000053830.5;
Q6P8Y0	Q6P8Y0;	8I7R;8IYJ;8TO0;	ENSMUST00000011298.14;
Q6P8Y7	Q6P8Y7;		ENSMUST00000013755.12 [Q6P8Y7-2];ENSMUST00000161202.8 [Q6P8Y7-1];
Q6P9J5	Q6P9J5;		ENSMUST00000102790.4;
Q6P9L3	Q6P9L3;		
Q6P9M2	Q6P9M2;		
Q6P9P0	Q6P9P0;		
Q6P9Q2	Q6P9Q2;		
Q6PAJ3	Q6PAJ3;		ENSMUST00000058045.5 [Q6PAJ3-1];
Q6PAJ8	Q6PAJ8;		
Q6PAM0	Q6PAM0;		ENSMUST00000045743.13;
Q6PAM1	Q6PAM1;		ENSMUST00000046425.16 [Q6PAM1-1];ENSMUST00000084264.12 [Q6PAM1-1];
Q6PAQ9	Q6PAQ9;		ENSMUST00000048790.7;ENSMUST00000170096.8;
Q6PAS1	Q6PAS1;		
Q6PAT0	Q6PAT0;	7NZ7;7NZ8;7NZ9;	ENSMUST00000038411.5;ENSMUST00000178231.2;ENSMUST00000218067.2;
Q6PB51	Q6PB51;		ENSMUST00000020776.5;
Q6PB70	Q6PB70;		ENSMUST00000093450.6;
Q6PB90	Q6PB90;	1WYJ;	ENSMUST00000052387.5;
Q6PCP3			ENSMUST00000100857.10;
Q6PCW6	Q6PCW6;		ENSMUST00000076276.5;
Q6PD02			ENSMUST00000079443.6;
Q6PD05	Q6PD05;		ENSMUST00000034163.9;ENSMUST00000212000.2;
Q6PD19	Q6PD19;		ENSMUST00000045396.9 [Q6PD19-1];
Q6PD24	Q6PD24;		ENSMUST00000056888.13;
Q6PD26	Q6PD26;		ENSMUST00000048073.9;
Q6PD33	Q6PD33;		
Q6PDC8	Q6PDC8;		ENSMUST00000046658.10 [Q6PDC8-3];ENSMUST00000112370.9 [Q6PDC8-4];ENSMUST00000126927.8 [Q6PDC8-4];ENSMUST00000144548.9 [Q6PDC8-4];ENSMUST00000159038.8 [Q6PDC8-1];
Q6PDJ1	Q6PDJ1;	8S7C;	ENSMUST00000030257.15 [Q6PDJ1-1];
Q6PDS4	Q6PDS4;		
Q6PDS5			ENSMUST00000226468.2;
Q6PDZ2	Q6PDZ2;		ENSMUST00000093099.13;
Q6PE01	Q6PE01;		ENSMUST00000105994.4;
Q6PEB5	Q6PEB5;		
Q6PEE2	Q6PEE2;		
Q6PEV0	Q6PEV0;		
Q6PEV3	Q6PEV3;		ENSMUST00000037480.9;
Q6PFB1	Q6PFB1;		
Q6PFB2			ENSMUST00000030726.13;
Q6PFC5	Q6PFC5;		ENSMUST00000057176.5;
Q6PFD7	Q6PFD7;		ENSMUST00000048431.3;
Q6PFH3	Q6PFH3;		ENSMUST00000041367.9 [Q6PFH3-2];ENSMUST00000210279.2 [Q6PFH3-1];
Q6PFX6	Q6PFX6;		ENSMUST00000067784.8;
Q6PG12	Q6PG12;		
Q6PG83	Q6PG83;		
Q6PG95	Q6PG95;		ENSMUST00000073337.8;ENSMUST00000233774.2;
Q6PGA0	Q6PGA0;		ENSMUST00000073279.13 [Q6PGA0-1];ENSMUST00000110849.10 [Q6PGA0-2];
Q6PGC0	Q6PGC0;		
Q6PGE7	Q6PGE7;		ENSMUST00000025520.10;
Q6PGG2	Q6PGG2;		ENSMUST00000036074.15 [Q6PGG2-1];ENSMUST00000123453.2 [Q6PGG2-2];
Q6PGH1	Q6PGH1;		ENSMUST00000159018.8 [Q6PGH1-1];ENSMUST00000160075.2 [Q6PGH1-1];ENSMUST00000162308.8 [Q6PGH1-2];ENSMUST00000162594.8 [Q6PGH1-1];
Q6PGH2	Q6PGH2;		ENSMUST00000024981.9;ENSMUST00000233067.2;
Q6PHN1	Q6PHN1;		ENSMUST00000056781.5;
Q6PHQ9			ENSMUST00000080178.13;
Q6PHS6	Q6PHS6;		ENSMUST00000048519.17;
Q6PI12	Q6PI12;		
Q6PI17			ENSMUST00000017610.11;
Q6PI62	Q6PI62;		ENSMUST00000070316.12;
Q6PKB0			ENSMUST00000210642.2;
Q6Q6R3	Q6Q6R3;		
Q6QHF0			
Q6QHF1	Q6QHF1;		
Q6QMF2	Q6QMF2;		
Q6RUU0	Q6RUU0;		
Q6S5G4	Q6S5G4;		ENSMUST00000069417.6;
Q6S5I3	Q6S5I3;	8S9W;	ENSMUST00000079286.4;
Q6T5E4			ENSMUST00000110191.10;
Q6TCG2	Q6TCG2;		ENSMUST00000079597.7;
Q6TCG5	Q6TCG5;		ENSMUST00000147991.2;
Q6TDP3	Q6TDP3;		ENSMUST00000105569.5;
Q6TKP2	Q6TKP2;		
Q6TLW0	Q6TLW0;		
Q6TLW1	Q6TLW1;		
Q6TU36	Q6TU36;		ENSMUST00000078879.7;
Q6UL01	Q6UL01;		ENSMUST00000061703.10;
Q6V595	Q6V595;		ENSMUST00000058839.10;
Q6V956			
Q6V957			
Q6W049	Q6W049;		ENSMUST00000098155.3;
Q6W5C0	Q6W5C0;		ENSMUST00000031326.10;
Q6XK24			
Q6XMP4	Q6XMP4;		
Q6ZPF8	Q6ZPF8;		
Q6ZPG2	Q6ZPG2;		ENSMUST00000176923.9 [Q6ZPG2-1];
Q6ZPJ0	Q6ZPJ0;		ENSMUST00000042780.14;
Q6ZPK1	Q6ZPK1;		
Q6ZPR6	Q6ZPR6;		ENSMUST00000039213.15 [Q6ZPR6-1];
Q6ZPT1	Q6ZPT1;		ENSMUST00000094993.3;
Q6ZPV3	Q6ZPV3;		
Q6ZPY5	Q6ZPY5;		ENSMUST00000061586.11;
Q6ZQ03	Q6ZQ03;		
Q6ZQ17	Q6ZQ17;		
Q6ZQ23			
Q6ZQ49	Q6ZQ49;		
Q6ZQA6	Q6ZQA6;		ENSMUST00000043983.11;
Q6ZQD6	Q6ZQD6;		
Q6ZQE7	Q6ZQE7;		
Q6ZQG3	Q6ZQG3;		
Q6ZQG6	Q6ZQG6;		
Q6ZQH8	Q6ZQH8;		ENSMUST00000064447.12;
Q6ZQI3	Q6ZQI3;		ENSMUST00000112121.6;
Q6ZQM7	Q6ZQM7;		
Q6ZWM4	Q6ZWM4;		ENSMUST00000056398.11;
Q6ZWP4	Q6ZWP4;		
Q6ZWQ7	Q6ZWQ7;		ENSMUST00000067476.9;
Q6ZWQ9			ENSMUST00000024846.13;ENSMUST00000123686.8;ENSMUST00000148960.8;ENSMUST00000232766.2;ENSMUST00000233089.2;ENSMUST00000233417.2;ENSMUST00000233798.2;
Q6ZWR0	Q6ZWR0;		
Q6ZWS4	Q6ZWS4;	6PEQ;6UCB;6UD4;6UD8;	ENSMUST00000027795.14;
Q6ZWX0	Q6ZWX0;		ENSMUST00000079764.14;
Q6ZWY3	Q6ZWY3;	7LS1;7LS2;	ENSMUST00000040917.14;
Q6ZWY8	Q6ZWY8;		ENSMUST00000114048.2;ENSMUST00000114049.2;ENSMUST00000114050.8;ENSMUST00000170837.3;
Q70LV9	Q70LV9;		
Q70YN3	Q70YN3;		
Q71MR7	Q71MR7;		ENSMUST00000095637.2;
Q75WC0			ENSMUST00000073889.14;
Q75WC8	Q75WC8;		
Q762C5	Q762C5;		
Q762D5	Q762D5;		
Q765I1	Q765I1;		ENSMUST00000070531.8;
Q768S5	Q768S5;		
Q76EC5	Q76EC5;		ENSMUST00000053017.13;
Q76HP3	Q76HP3;		ENSMUST00000044441.8;
Q76LV0			
Q78ED8	Q78ED8;		
Q78GB8	Q78GB8;		
Q78HN8	Q78HN8;		
Q78IK2	Q78IK2;		ENSMUST00000096014.5;ENSMUST00000235771.2;ENSMUST00000236170.2;ENSMUST00000237720.2;
Q78IK4	Q78IK4;		ENSMUST00000026599.10;
Q78KK3	Q78KK3;		
Q78P93	Q78P93;		
Q78PG9	Q78PG9;		ENSMUST00000022614.7;
Q78T54	Q78T54;		ENSMUST00000114576.9 [Q78T54-1];
Q78WH7	Q78WH7;		ENSMUST00000052939.4;
Q78WZ7	Q78WZ7;		ENSMUST00000020877.9;
Q78XF5	Q78XF5;		ENSMUST00000043937.9;
Q78XR0	Q78XR0;		ENSMUST00000002112.15 [Q78XR0-1];ENSMUST00000108455.8 [Q78XR0-2];
Q78YZ6	Q78YZ6;		ENSMUST00000081506.11 [Q78YZ6-1];ENSMUST00000167525.3 [Q78YZ6-3];ENSMUST00000212031.2 [Q78YZ6-2];ENSMUST00000212905.2 [Q78YZ6-2];
Q78ZA7	Q78ZA7;		ENSMUST00000072727.7;
Q78ZM0			ENSMUST00000019939.12;
Q790I0	Q790I0;		
Q790L7	Q790L7;		
Q790L8	Q790L8;		
Q791G4	Q791G4;		
Q791N7	Q791N7;		ENSMUST00000113669.9;ENSMUST00000172518.8;
Q791T5	Q791T5;		ENSMUST00000095427.12 [Q791T5-1];ENSMUST00000118366.9 [Q791T5-2];
Q791V7	Q791V7;		
Q792S7	Q792S7;		
Q794H2	Q794H2;		ENSMUST00000079490.6;
Q7GIP5	Q7GIP5;		
Q7JCX7	Q7JCX7;		
Q7JCY4	Q7JCY4;		
Q7JCY6	Q7JCY6;		
Q7JCY9	Q7JCY9;		
Q7JCZ0	Q7JCZ0;		
Q7JCZ1	Q7JCZ1;		
Q7JFR0	Q7JFR0;		
Q7M6Y1			ENSMUST00000021997.8;
Q7M712	Q7M712;		ENSMUST00000082014.2;
Q7M717	Q7M717;		
Q7M720	Q7M720;		ENSMUST00000095395.2;
Q7M725	Q7M725;		ENSMUST00000065781.5;
Q7M756	Q7M756;		ENSMUST00000180075.2;ENSMUST00000213096.2;
Q7M757	Q7M757;		ENSMUST00000218023.2;
Q7TM99	Q7TM99;		ENSMUST00000046807.7;
Q7TMA2	Q7TMA2;		ENSMUST00000043409.9 [Q7TMA2-1];
Q7TMD4	Q7TMD4;		
Q7TMM1	Q7TMM1;		
Q7TMQ7	Q7TMQ7;		ENSMUST00000081214.12;
Q7TMV3	Q7TMV3;		ENSMUST00000110262.3;
Q7TMV9	Q7TMV9;		
Q7TMX5	Q7TMX5;		ENSMUST00000089245.7 [Q7TMX5-2];ENSMUST00000113312.9 [Q7TMX5-1];ENSMUST00000170667.8 [Q7TMX5-1];
Q7TMY2	Q7TMY2;		
Q7TN22	Q7TN22;		ENSMUST00000022377.11 [Q7TN22-2];ENSMUST00000123879.8 [Q7TN22-1];ENSMUST00000139526.9 [Q7TN22-1];
Q7TN74			ENSMUST00000035813.9;
Q7TN84	Q7TN84;		ENSMUST00000195354.6;
Q7TN88	Q7TN88;		
Q7TNB5			ENSMUST00000094179.11;
Q7TND5	Q7TND5;		ENSMUST00000029838.11;
Q7TNG5	Q7TNG5;		ENSMUST00000048502.10 [Q7TNG5-2];ENSMUST00000117338.8 [Q7TNG5-3];ENSMUST00000120595.8 [Q7TNG5-1];
Q7TNI2	Q7TNI2;		ENSMUST00000045286.9;
Q7TNI3			ENSMUST00000115726.9;
Q7TNP2	Q7TNP2;		ENSMUST00000114437.9;
Q7TNR9	Q7TNR9;		ENSMUST00000047664.16;
Q7TNS2	Q7TNS2;		ENSMUST00000143971.2;
Q7TNS7	Q7TNS7;		ENSMUST00000037708.10;
Q7TNU0	Q7TNU0;		
Q7TNU6	Q7TNU6;		ENSMUST00000048854.8;ENSMUST00000229055.2;
Q7TNU7	Q7TNU7;		ENSMUST00000079160.8;
Q7TNV7	Q7TNV7;		ENSMUST00000066416.4;
Q7TNV8	Q7TNV8;		ENSMUST00000064475.4;
Q7TNV9	Q7TNV9;		ENSMUST00000052601.4;
Q7TNW3			ENSMUST00000120956.8;
Q7TPB0	Q7TPB0;		
Q7TPC1	Q7TPC1;		ENSMUST00000044804.8;
Q7TPD6	Q7TPD6;		ENSMUST00000038463.15;
Q7TPG6	Q7TPG6;		ENSMUST00000139783.2;
Q7TPH7	Q7TPH7;		
Q7TPM1	Q7TPM1;		ENSMUST00000036691.14 [Q7TPM1-1];
Q7TPM6	Q7TPM6;		ENSMUST00000011733.9 [Q7TPM6-1];
Q7TPN3	Q7TPN3;		ENSMUST00000062118.11 [Q7TPN3-1];ENSMUST00000067902.13 [Q7TPN3-2];
Q7TPN9	Q7TPN9;		ENSMUST00000033095.10;ENSMUST00000106292.8;
Q7TPP4	Q7TPP4;		
Q7TPS4	Q7TPS4;		
Q7TPW1	Q7TPW1;		ENSMUST00000046045.13;
Q7TPW4	Q7TPW4;		
Q7TPY9	Q7TPY9;		ENSMUST00000075983.6;
Q7TPZ8	Q7TPZ8;		ENSMUST00000031806.10;
Q7TQ07	Q7TQ07;		
Q7TQ48	Q7TQ48;		ENSMUST00000023161.8 [Q7TQ48-1];ENSMUST00000090500.10 [Q7TQ48-2];
Q7TQ69	Q7TQ69;		
Q7TQA5	Q7TQA5;		ENSMUST00000057686.5;
Q7TQA6	Q7TQA6;		ENSMUST00000076565.3;
Q7TQA7	Q7TQA7;		
Q7TQA8	Q7TQA8;		
Q7TQA9	Q7TQA9;		
Q7TQB0	Q7TQB0;		ENSMUST00000070028.3;
Q7TQB8	Q7TQB8;		ENSMUST00000063489.4;
Q7TQB9	Q7TQB9;		ENSMUST00000057398.4;
Q7TQC7	Q7TQC7;		ENSMUST00000065573.14 [Q7TQC7-1];ENSMUST00000110943.9 [Q7TQC7-3];ENSMUST00000160471.8 [Q7TQC7-2];
Q7TQD7			ENSMUST00000018561.14;
Q7TQE7	Q7TQE7;		ENSMUST00000058868.9 [Q7TQE7-1];
Q7TQG0	Q7TQG0;		ENSMUST00000055028.9;ENSMUST00000107817.3;ENSMUST00000180217.2;
Q7TQH3	Q7TQH3;		
Q7TQI0	Q7TQI0;		ENSMUST00000024984.7;
Q7TQJ1	Q7TQJ1;		ENSMUST00000061111.10;
Q7TQK1	Q7TQK1;		
Q7TQN9	Q7TQN9;		ENSMUST00000045319.9;
Q7TQP0	Q7TQP0;		ENSMUST00000065335.3;
Q7TQP2	Q7TQP2;		ENSMUST00000050649.6;
Q7TQP4	Q7TQP4;		ENSMUST00000063119.5;
Q7TR96	Q7TR96;		ENSMUST00000065626.3;ENSMUST00000216397.3;
Q7TRF3	Q7TRF3;		ENSMUST00000060780.3;ENSMUST00000216538.2;
Q7TRM9			ENSMUST00000098138.5;ENSMUST00000210568.4;
Q7TS48	Q7TS48;		
Q7TS64			ENSMUST00000025791.12;
Q7TS68	Q7TS68;		ENSMUST00000028034.15;ENSMUST00000076435.9;ENSMUST00000195749.6;
Q7TS91			ENSMUST00000028114.13;ENSMUST00000114845.10;
Q7TSA7	Q7TSA7;		
Q7TSC1	Q7TSC1;		ENSMUST00000025253.12;
Q7TSD1			ENSMUST00000203588.2;
Q7TSH2	Q7TSH2;		ENSMUST00000053771.14;
Q7TSH7	Q7TSH7;		ENSMUST00000170580.3;
Q7TSI0	Q7TSI0;		ENSMUST00000032591.15 [Q7TSI0-1];ENSMUST00000077485.11 [Q7TSI0-2];
Q7TSI3	Q7TSI3;		ENSMUST00000064099.8;
Q7TSI4			ENSMUST00000223718.2;
Q7TSJ0			
Q7TSJ7			ENSMUST00000111944.10;
Q7TSL0	Q7TSL0;		ENSMUST00000058595.7;
Q7TSL2	Q7TSL2;		
Q7TSQ1	Q7TSQ1;		ENSMUST00000039597.14 [Q7TSQ1-1];ENSMUST00000188466.7 [Q7TSQ1-4];ENSMUST00000191030.7 [Q7TSQ1-2];ENSMUST00000191469.7 [Q7TSQ1-1];
Q7TST0	Q7TST0;		ENSMUST00000080254.7;
Q7TSV2	Q7TSV2;		
Q7TSV6	Q7TSV6;		ENSMUST00000038174.8 [Q7TSV6-1];
Q7TSV8	Q7TSV8;		
Q7TSZ3	Q7TSZ3;		
Q7TT41	Q7TT41;		ENSMUST00000031937.4;
Q7TT52	Q7TT52;		ENSMUST00000076084.6 [Q7TT52-1];ENSMUST00000110820.3 [Q7TT52-2];
Q80SU4	Q80SU4;		ENSMUST00000105149.3;
Q80SU7	Q80SU7;		ENSMUST00000106766.9;ENSMUST00000176467.8;
Q80SY3	Q80SY3;		ENSMUST00000029900.6;
Q80SY9			ENSMUST00000118370.8;
Q80T03			
Q80T19	Q80T19;		ENSMUST00000074671.9;
Q80T43	Q80T43;		
Q80T62	Q80T62;		ENSMUST00000057645.6;
Q80T82	Q80T82;		
Q80TE0	Q80TE0;		ENSMUST00000048493.12 [Q80TE0-1];ENSMUST00000099529.9 [Q80TE0-1];ENSMUST00000110793.8 [Q80TE0-1];
Q80TE2	Q80TE2;		
Q80TE4	Q80TE4;		ENSMUST00000108775.2 [Q80TE4-1];ENSMUST00000212987.2 [Q80TE4-1];
Q80TF3	Q80TF3;		ENSMUST00000149154.8;
Q80TH3	Q80TH3;		
Q80TK2	Q80TK2;		
Q80TL7	Q80TL7;		ENSMUST00000037557.9 [Q80TL7-2];ENSMUST00000073792.11 [Q80TL7-1];
Q80TM6	Q80TM6;		ENSMUST00000064793.13 [Q80TM6-4];ENSMUST00000077046.12 [Q80TM6-1];ENSMUST00000105249.9 [Q80TM6-2];ENSMUST00000105250.9 [Q80TM6-3];ENSMUST00000105251.9 [Q80TM6-3];ENSMUST00000166820.8 [Q80TM6-1];
Q80TN4	Q80TN4;	2CUG;	ENSMUST00000038014.11;
Q80TQ5	Q80TQ5;		
Q80TS8	Q80TS8;		ENSMUST00000031090.8 [Q80TS8-1];
Q80TU3	Q80TU3;		
Q80TW3	Q80TW3;		
Q80TX7	Q80TX7;		
Q80TY4	Q80TY4;		ENSMUST00000043578.13;ENSMUST00000131494.8;ENSMUST00000140079.8;ENSMUST00000150761.8;ENSMUST00000151281.8;ENSMUST00000163727.4;
Q80TY9	Q80TY9;		
Q80U11	Q80U11;		
Q80U22	Q80U22;		
Q80U35	Q80U35;		ENSMUST00000107032.3 [Q80U35-1];ENSMUST00000209041.2 [Q80U35-2];
Q80U44	Q80U44;		ENSMUST00000022217.9;
Q80U49	Q80U49;		ENSMUST00000101018.11 [Q80U49-1];ENSMUST00000222711.2 [Q80U49-1];
Q80U56	Q80U56;		ENSMUST00000031805.11;
Q80UB0	Q80UB0;		ENSMUST00000091569.7;
Q80UG6	Q80UG6;		ENSMUST00000067087.7;
Q80UI8	Q80UI8;		
Q80UI9	Q80UI9;		
Q80UJ9	Q80UJ9;		ENSMUST00000049246.7;
Q80UK0	Q80UK0;		ENSMUST00000102659.2;ENSMUST00000102660.8;
Q80UK8	Q80UK8;		ENSMUST00000018212.13 [Q80UK8-1];ENSMUST00000108039.8 [Q80UK8-1];
Q80UP5	Q80UP5;		ENSMUST00000102578.11;
Q80UQ2	Q80UQ2;		ENSMUST00000031317.10 [Q80UQ2-1];ENSMUST00000202704.4 [Q80UQ2-1];ENSMUST00000202784.4 [Q80UQ2-2];
Q80UR4			ENSMUST00000037453.5;
Q80UR8	Q80UR8;		
Q80UU2	Q80UU2;		
Q80UW8	Q80UW8;		ENSMUST00000004786.10;
Q80UX8	Q80UX8;		ENSMUST00000048216.6;ENSMUST00000139793.8;
Q80UY1	Q80UY1;		ENSMUST00000025632.11;
Q80UZ2	Q80UZ2;		
Q80V03	Q80V03;		
Q80V23	Q80V23;		ENSMUST00000112860.2 [Q80V23-2];ENSMUST00000112861.8 [Q80V23-1];ENSMUST00000164472.8 [Q80V23-1];ENSMUST00000223041.2 [Q80V23-2];
Q80V31	Q80V31;		ENSMUST00000047497.15;
Q80V47	Q80V47;		
Q80V57	Q80V57;		
Q80V86	Q80V86;		ENSMUST00000044616.10;ENSMUST00000108319.9;
Q80V94	Q80V94;		ENSMUST00000002063.15;
Q80VD1	Q80VD1;		ENSMUST00000028825.5;
Q80VF8	Q80VF8;		
Q80VJ0	Q80VJ0;		
Q80VJ2	Q80VJ2;	2YRU;	
Q80VM4	Q80VM4;		ENSMUST00000108572.2;ENSMUST00000162731.2;
Q80VN0	Q80VN0;		ENSMUST00000165673.5;
Q80VP9	Q80VP9;		ENSMUST00000031291.9;
Q80VQ1	Q80VQ1;		ENSMUST00000183734.2 [Q80VQ1-3];ENSMUST00000183873.8 [Q80VQ1-1];
Q80VY2	Q80VY2;		ENSMUST00000066610.8 [Q80VY2-1];ENSMUST00000098273.3 [Q80VY2-2];
Q80VY7	Q80VY7;		
Q80W03	Q80W03;		ENSMUST00000109621.10;
Q80W14	Q80W14;		
Q80W15	Q80W15;		ENSMUST00000044297.7;
Q80W31	Q80W31;		ENSMUST00000032797.9;ENSMUST00000108205.9;
Q80W80			ENSMUST00000086854.10;
Q80WC1	Q80WC1;		ENSMUST00000039127.15 [Q80WC1-4];ENSMUST00000160583.8 [Q80WC1-1];
Q80WC3			
Q80WC7	Q80WC7;		ENSMUST00000031736.16 [Q80WC7-1];
Q80WQ4	Q80WQ4;		ENSMUST00000147525.9 [Q80WQ4-1];ENSMUST00000152039.9 [Q80WQ4-3];ENSMUST00000171777.2 [Q80WQ4-1];
Q80WS3	Q80WS3;		ENSMUST00000160726.4;
Q80WT5	Q80WT5;		ENSMUST00000035350.12 [Q80WT5-2];ENSMUST00000146722.9 [Q80WT5-1];
Q80WU3	Q80WU3;		
Q80X29	Q80X29;		
Q80X31	Q80X31;		
Q80X33	Q80X33;		
Q80X37			ENSMUST00000060516.14;
Q80X76	Q80X76;		ENSMUST00000101080.2;ENSMUST00000121337.8;ENSMUST00000167049.8;
Q80X85	Q80X85;	7PNT;7PNU;7PNV;7PNW;	ENSMUST00000058109.9;
Q80XA6	Q80XA6;		ENSMUST00000112334.8;
Q80XB7			
Q80XD1	Q80XD1;		ENSMUST00000067741.10 [Q80XD1-1];ENSMUST00000114401.8 [Q80XD1-3];ENSMUST00000146114.8 [Q80XD1-2];
Q80XE8	Q80XE8;		
Q80XH7			
Q80XI7	Q80XI7;		ENSMUST00000088924.7 [Q80XI7-1];
Q80XK0	Q80XK0;		
Q80XM3	Q80XM3;		ENSMUST00000061828.10;
Q80XM9	Q80XM9;		ENSMUST00000070135.8 [Q80XM9-2];ENSMUST00000091798.10 [Q80XM9-1];ENSMUST00000123750.8 [Q80XM9-2];ENSMUST00000129043.8 [Q80XM9-2];ENSMUST00000131780.8 [Q80XM9-1];ENSMUST00000134545.3 [Q80XM9-4];ENSMUST00000140594.8 [Q80XM9-1];ENSMUST00000151677.9 [Q80XM9-4];
Q80XQ2	Q80XQ2;		ENSMUST00000024717.10;
Q80XS6	Q80XS6;		
Q80Y19	Q80Y19;		ENSMUST00000102545.8;
Q80Y25	Q80Y25;		
Q80Y72	Q80Y72;		ENSMUST00000109952.2 [Q80Y72-1];ENSMUST00000109955.10 [Q80Y72-1];
Q80Y89	Q80Y89;		
Q80YD3	Q80YD3;		ENSMUST00000055944.11 [Q80YD3-2];ENSMUST00000107978.2 [Q80YD3-1];
Q80YD6	Q80YD6;		ENSMUST00000033127.12;
Q80YP6	Q80YP6;		ENSMUST00000032551.8;
Q80YQ8	Q80YQ8;		ENSMUST00000002292.15;
Q80YR2	Q80YR2;		ENSMUST00000022690.10 [Q80YR2-1];
Q80YS6	Q80YS6;		ENSMUST00000064571.11;
Q80YS9	Q80YS9;		ENSMUST00000055406.9;
Q80YT5	Q80YT5;		ENSMUST00000041705.8;
Q80YU0	Q80YU0;		ENSMUST00000069649.9;
Q80YW0	Q80YW0;		ENSMUST00000043069.6;
Q80ZA1			ENSMUST00000171247.8;
Q80ZE4	Q80ZE4;		ENSMUST00000081525.4;ENSMUST00000095074.4;
Q80ZE5	Q80ZE5;		ENSMUST00000068880.14;ENSMUST00000167119.8;ENSMUST00000187651.2;ENSMUST00000189400.7;
Q80ZH7			ENSMUST00000092849.12;ENSMUST00000173722.8;
Q80ZI2	Q80ZI2;		ENSMUST00000061030.10;
Q80ZJ2			ENSMUST00000118410.8;
Q80ZJ6	Q80ZJ6;		ENSMUST00000044751.14 [Q80ZJ6-1];ENSMUST00000113677.3 [Q80ZJ6-2];
Q80ZJ8	Q80ZJ8;		ENSMUST00000053670.12;
Q80ZL7	Q80ZL7;		
Q80ZM7	Q80ZM7;		ENSMUST00000118198.8;ENSMUST00000119413.8;
Q80ZM8	Q80ZM8;		ENSMUST00000028835.13;
Q80ZN5	Q80ZN5;		ENSMUST00000046589.4;
Q80ZN9	Q80ZN9;		ENSMUST00000063324.14;ENSMUST00000182048.2;ENSMUST00000182111.8;
Q80ZU7	Q80ZU7;		ENSMUST00000088950.8;ENSMUST00000109760.2;
Q80ZU9	Q80ZU9;		ENSMUST00000166115.9;ENSMUST00000237934.2;
Q80ZZ0	Q80ZZ0;		
Q810A1	Q810A1;		ENSMUST00000018491.8;ENSMUST00000071465.9;
Q810A4	Q810A4;		
Q810E6	Q810E6;		
Q810E7	Q810E7;		
Q810F8	Q810F8;		ENSMUST00000041871.9 [Q810F8-1];
Q810I0	Q810I0;		ENSMUST00000067935.11 [Q810I0-1];ENSMUST00000076203.3 [Q810I0-2];
Q810K9	Q810K9;		ENSMUST00000032157.9;
Q810N9	Q810N9;		ENSMUST00000069419.8 [Q810N9-1];ENSMUST00000235305.2 [Q810N9-2];
Q810T2	Q810T2;		
Q810V0	Q810V0;		ENSMUST00000032735.8;
Q810W6	Q810W6;		ENSMUST00000053389.5;ENSMUST00000190313.2;
Q810Z1	Q810Z1;		ENSMUST00000058912.3;
Q811F1	Q811F1;		ENSMUST00000039867.10;
Q811M1	Q811M1;		ENSMUST00000055776.8 [Q811M1-1];ENSMUST00000112822.8 [Q811M1-4];
Q811N7	Q811N7;		
Q811N8	Q811N8;		
Q811Q3			ENSMUST00000050342.5;
Q811Q4	Q811Q4;		
Q811S6	Q811S6;		
Q811T4			ENSMUST00000203363.3;
Q811T5	Q811T5;		
Q811V7	Q811V7;		
Q812A2	Q812A2;		
Q812B2	Q812B2;		ENSMUST00000051079.4;
Q8BFQ6	Q8BFQ6;		ENSMUST00000023554.9;
Q8BFQ8	Q8BFQ8;		ENSMUST00000106008.3;
Q8BFQ9	Q8BFQ9;		ENSMUST00000036003.8;
Q8BFR6	Q8BFR6;	1WFE;1WYS;	ENSMUST00000037839.12;
Q8BFU3	Q8BFU3;		ENSMUST00000058720.13 [Q8BFU3-1];ENSMUST00000160699.9 [Q8BFU3-1];ENSMUST00000161187.8 [Q8BFU3-5];ENSMUST00000161203.8 [Q8BFU3-2];ENSMUST00000162369.8 [Q8BFU3-4];
Q8BFU7	Q8BFU7;		ENSMUST00000053375.4;ENSMUST00000118666.8;
Q8BFX6	Q8BFX6;		
Q8BFZ1	Q8BFZ1;		ENSMUST00000053543.11;
Q8BFZ3	Q8BFZ3;		ENSMUST00000054716.4;
